Mouse.Gene_ID	MGI	Entrez.Gene_ID	Human.Gene_ID	HGNC
ENSMUSG00000064341	mt-Nd1	17716	ENSG00000198888	MT-ND1
ENSMUSG00000064363	mt-Nd4	17719	ENSG00000198886	MT-ND4
ENSMUSG00000064356	mt-Atp8	17706	ENSG00000228253	MT-ATP8
ENSMUSG00000064345	mt-Nd2	17717	ENSG00000198763	MT-ND2
ENSMUSG00000064358	mt-Co3	17710	ENSG00000198938	MT-CO3
ENSMUSG00000064357	mt-Atp6	17705	ENSG00000198899	MT-ATP6
ENSMUSG00000064370	mt-Cytb	17711	ENSG00000198727	MT-CYB
ENSMUSG00000064351	mt-Co1	17708	ENSG00000198804	MT-CO1
ENSMUSG00000064360	mt-Nd3	17718	ENSG00000198840	MT-ND3
ENSMUSG00000064368	mt-Nd6	17722	ENSG00000198695	MT-ND6
ENSMUSG00000064367	mt-Nd5	17721	ENSG00000198786	MT-ND5
ENSMUSG00000065947	mt-Nd4l	17720	ENSG00000212907	MT-ND4L
ENSMUSG00000064354	mt-Co2	17709	ENSG00000198712	MT-CO2
ENSMUSG00000003526	Prodh	19125	ENSG00000277196	
ENSMUSG00000003531	Dgcr6	13353	ENSG00000278817	
ENSMUSG00000064762	Gm23738	115490060	ENSG00000277374	
ENSMUSG00000031590	Frg1	14300	ENSG00000273748	
ENSMUSG00000037772	Mrpl23	19935	ENSG00000276345	
ENSMUSG00000094502	Ighv1-69	NA	ENSG00000278782	
ENSMUSG00000094029	Ighv3-3	NA	ENSG00000275063	
ENSMUSG00000095863	Ighv1-67	NA	ENSG00000278782	
ENSMUSG00000076710	Ighv1-49	NA	ENSG00000278782	
ENSMUSG00000096767	Ighv1-62-3	NA	ENSG00000278782	
ENSMUSG00000095130	Ighv1-39	NA	ENSG00000278782	
ENSMUSG00000096672	Ighv1-63	NA	ENSG00000278782	
ENSMUSG00000076670	Ighv3-5	NA	ENSG00000275063	
ENSMUSG00000094862	Ighv1-56	NA	ENSG00000278782	
ENSMUSG00000095923	Ighv1-37	NA	ENSG00000278782	
ENSMUSG00000094124	Ighv1-74	NA	ENSG00000278782	
ENSMUSG00000094075	Ighv1-80	NA	ENSG00000278782	
ENSMUSG00000094087	Ighv1-61	NA	ENSG00000278782	
ENSMUSG00000095761	Ighv1-20	NA	ENSG00000278782	
ENSMUSG00000094546	Ighv1-26	NA	ENSG00000278782	
